,company_name,industry,location,partners,person_quoted,product_url,region,Person Name,Role in Company
147,O.phon GmbH,Business consulting services,Germany,['NTT'],"Daniel Kubein, Head of Operations and Performance, O.phon GmbH",https://www.genesys.com/customer-stories/o-phon/,EMEA,Daniel Kubein, Head of Operations and Performance
148,Dolfi1920,Aviation,Poland,,"Tal Fridman, Operations and Business Development Director Europe, Dolfi1920",https://www.genesys.com/customer-stories/dolfi1920/,EMEA,Tal Fridman, Operations and Business Development Director Europe
149,Grupo Sabin,Healthcare,Brazil,['InvenIT'],"Neilton Alves, Project Analyst, Grupo Sabin",https://www.genesys.com/customer-stories/grupo-sabin/,LATAM,Neilton Alves, Project Analyst
150,Inter,Financial Services,Brazil,,"João Marcus Santos, IT Manager, Inter",https://www.genesys.com/customer-stories/inter/,LATAM,João Marcus Santos, IT Manager
151,Odity,Customer relations,Global,,"Clément Polet, Deputy CEO Business, Odity",https://www.genesys.com/customer-stories/odity/,EMEA,Clément Polet, Deputy CEO Business
152,Digital Dialog GmbH,Contact center services,Germany,['VR Voice'],"Corinna Kaussen, Authorized Signatory, Digital Dialog GmbH",https://www.genesys.com/customer-stories/digital-dialog/,EMEA,Corinna Kaussen, Authorized Signatory
153,Company Nurse,Healthcare,US,['Brightmetrics'],"Henry Svendblad, CTO, Company Nurse",https://www.genesys.com/customer-stories/company-nurse/,,Henry Svendblad, CTO
154,APM,Human resources,Australia,['Customer Driven'],"Michael McBride, General Manager, Customer Service Center, APM",https://www.genesys.com/customer-stories/apm/,APAC,Michael McBride, General Manager
155,,,,,,https://www.genesys.com/customer-stories/rapid-financial-solutions/,,,
156,Brighton & Hove Albion Football Club,Sports and entertainment,UK,['Kerv'],"Brian Kearney, Digital Systems Project Manager, Brighton & Hove Albion Football Club",https://www.genesys.com/customer-stories/brighton-and-hove-albion-football-club/,EMEA,Brian Kearney, Digital Systems Project Manager
157,Universidad Tecnologica de México (UNITEC),Education,Mexico,,"Leandro Cruz Hernández, Digital Director and Customer Experience, UNITEC",https://www.genesys.com/customer-stories/unitec/,LATAM,Leandro Cruz Hernández, Digital Director and Customer Experience
158,Rainmaker,Business process outsourcer,Finland and Spain,,"Henri Forss, Sales and Development Director, Rainmaker",https://www.genesys.com/customer-stories/rainmaker/,EMEA,Henri Forss, Sales and Development Director
159,The University of Texas Rio Grande Valley,Higher education,US,,"Dr. Vanessa Maldonado, Director of Student Service Centers, UTRGV",https://www.genesys.com/customer-stories/the-university-of-texas-rio-grande-valley/,,Dr. Vanessa Maldonado, Director of Student Service Centers
160,Metergy Solutions,Utilities,Canada,,"Maudrie Smith, Director of Customer Care Operations, Metergy Solutions",https://www.genesys.com/customer-stories/metergy/,,Maudrie Smith, Director of Customer Care Operations
161,Farmers Mutual Group (FMG),Insurance,New Zealand,"['Avtex', 'Microsoft']","Matt Harvey, Head of National Advice and Service Center, FMG",https://www.genesys.com/customer-stories/farmers-mutual-group/,APAC,Matt Harvey, Head of National Advice and Service Center
162,Aeromexico,Airline,Mexico,"['Salesforce', 'Pureinsights', 'Kranon']","Angelina Griselda Stankiewicz Chávez, Senior Contact Center Manager, Aeromexico",https://www.genesys.com/customer-stories/aeromexico/,LATAM,Angelina Griselda Stankiewicz Chávez, Senior Contact Center Manager
163,TechStyleOS,Retail,US and global,['Amazon Web Services'],"Jack Roberts, Director, GMS Technology and Applications , TechStyleOS",https://www.genesys.com/customer-stories/techstyleos/,,Jack Roberts, Director
164,Etraveli Group,Travel and tourism,Sweden,"['GlobalConnect', 'Amelia', 'Scorebuddy', 'Shelf']","Gurpreet Sawhney, WFM Director, Etraveli Group",https://www.genesys.com/customer-stories/etraveli/,EMEA,Gurpreet Sawhney, WFM Director
